,taxroll_number,landuse_description,net_area,basement_finished,has_garage,has_fireplace,assessed_value,lot_size,building_count,walkout_basement,air_conditioning,valuation_group,tot_gross_area_description,lon,lat
11546,10034429,0,198.8,0,1,1,457500,395.617,1,0,0,,239.0,-113.407843,53.62348099
11547,10034447,0,132.2,0,1,1,420000,373.62,1,0,0,,175.1,-113.4079969,53.62301448
11548,10034430,0,160.0,0,1,1,405500,395.606,1,0,0,,198.8,-113.4080091,53.62348181
11549,10034448,0,163.8,0,1,1,407000,373.594,1,0,0,,202.7,-113.40816299999999,53.62301529999999
11550,10034431,0,175.5,0,1,1,417000,395.597,1,0,0,,210.8,-113.40817520000002,53.62348263
11551,10034449,0,160.0,0,1,1,403500,373.555,1,0,0,,198.8,-113.4083291,53.62301612
11552,10034450,0,161.2,0,1,1,404000,373.534,1,0,0,,200.0,-113.4084952,53.62301694
11553,10034433,0,147.4,1,1,1,406500,395.602,1,0,0,,186.4,-113.4085074,53.62348427
11554,10034451,0,160.0,0,1,0,399000,373.547,1,0,0,,198.8,-113.40866129999999,53.62301776
11555,10034452,0,155.5,0,1,1,398500,373.565,1,0,0,,190.9,-113.40882739999999,53.62301858
11556,10034453,0,175.5,0,1,1,417000,373.572,1,0,0,,214.3,-113.40899350000001,53.623019400000004
11557,10034454,0,145.0,1,1,1,439000,373.57,1,0,0,,182.1,-113.4091596,53.62302022
11558,10034437,0,199.4,0,1,1,458000,395.674,1,0,0,,239.6,-113.40917209999999,53.62348755
11559,10034455,0,150.1,0,1,1,398000,373.576,1,0,0,,188.0,-113.40932579999999,53.62301655
11560,10034438,0,134.6,0,1,1,380500,395.704,1,0,0,,169.9,-113.40933829999999,53.62348388
11561,10034456,0,160.0,0,1,1,406000,398.773,1,0,0,,198.8,-113.40951090000001,53.62301746
11562,10034439,0,176.7,0,1,1,423500,395.739,1,0,0,,219.6,-113.4095045,53.623484700000006
11563,10034457,0,175.5,0,1,1,424000,471.837,1,0,0,,210.8,-113.40972859999998,53.62299383
11564,10034440,0,163.8,1,1,1,413000,395.748,1,0,0,,199.2,-113.4096706,53.62348552
11565,10034441,0,163.8,0,1,1,409000,395.693,1,0,0,,202.7,-113.40983680000001,53.62348634
11566,10034442,0,175.5,1,1,1,423000,395.428,1,0,0,,210.8,-113.4100032,53.62348716
11567,10013018,0,152.9,0,1,1,391000,359.518,1,0,0,,188.9,-113.410169,53.6235037
11568,10013017,0,177.5,0,1,0,418500,410.817,1,0,0,,218.5,-113.4103963,53.62353852
11569,10013016,0,173.4,1,1,1,436500,545.964,1,0,0,,214.3,-113.4105896,53.62353723
11570,6961700,0,109.19,0,1,1,336500,668.127,1,0,0,,160.94,-113.5084919,53.62449595
11571,6961684,0,106.68,0,1,1,319000,567.881,1,0,0,,158.43,-113.5087757,53.62450835
11572,6961668,0,116.96,1,1,0,342500,571.137,1,0,0,,170.25,-113.50904070000001,53.62450944
11573,6962005,0,111.54,0,1,1,349500,655.116,1,0,0,,169.21,-113.5093433,53.62410632
11574,6961627,0,96.38,1,1,0,311500,563.454,1,0,0,,145.29,-113.509551,53.62450928
11575,6961601,0,106.58,1,1,0,322500,560.287,1,0,0,,159.87,-113.50980430000001,53.62451032
11576,6958607,0,99.95,1,1,1,335000,577.289,1,0,0,,144.84,-113.51009740000002,53.62406672
11577,6961585,0,106.34,1,1,0,322000,566.814,1,0,0,,159.63,-113.5100562,53.62451135
11578,6958581,0,110.81,1,0,1,330000,607.885,1,0,1,,138.81,-113.51033259999998,53.624058700000006
11579,6961569,0,109.19,0,1,1,326000,563.664,1,0,0,,175.62,-113.51031100000002,53.62451239999999
11580,6961544,0,101.12,1,1,1,322500,563.764,1,0,0,,146.01,-113.5105643,53.62451343
11581,6958540,0,119.04,1,1,1,358000,562.007,1,0,0,,176.71,-113.51089740000002,53.62406101
11582,6961528,0,128.1,1,1,1,349500,563.84,1,0,0,,177.01,-113.5109176,53.6243201
11583,6961486,0,108.32,1,1,1,354500,563.924,1,0,0,,221.29,-113.51114009999998,53.62451354
11584,6958508,0,112.8,1,1,1,344000,587.494,1,0,0,,161.71,-113.5114258,53.62406316
11585,6961460,0,155.25,1,1,1,375500,605.065,1,0,0,,208.54,-113.51140500000001,53.62451237
11586,6961445,0,106.58,0,0,0,292000,553.807,1,0,0,,106.58,-113.51166059999998,53.62451342
11587,6958466,0,115.82,1,1,0,360500,680.004,1,0,0,,169.11,-113.51201840000002,53.62402515
11588,6961387,0,111.85,1,1,0,335000,609.769,1,0,0,,160.76,-113.51247350000001,53.62452347
11589,6961346,0,157.71,0,1,1,351500,654.349,1,0,0,,225.26,-113.5128886,53.62454538
11590,6959969,0,215.6,1,1,1,440500,1006.866,1,0,0,,263.58,-113.5140482,53.62439059
11591,6959944,0,182.94,0,1,1,380500,896.412,1,0,0,,227.47,-113.5142973,53.62451291
11592,6959860,0,110.81,1,0,1,316000,565.179,1,0,0,,138.81,-113.5152757,53.62452137
11593,6959845,0,114.23,1,1,1,357000,565.073,1,0,0,,176.28,-113.5155291,53.62452239999999
11594,6959829,0,112.52,0,1,1,332000,539.056,1,0,0,,170.19,-113.51578229999998,53.62452791
11595,6959803,0,112.24,0,1,1,332000,520.092,1,0,0,,149.45,-113.5160669,53.62453805
11596,10186219,0,199.5,0,1,1,504000,492.435,1,1,0,,242.4,-113.40218130000001,53.62536235
11597,10186220,0,238.4,1,1,1,575000,840.636,1,1,0,,288.7,-113.4018285,53.62545944
11598,10186218,0,207.8,1,1,1,518000,560.239,1,1,0,,245.3,-113.4024794,53.62534362
11599,10186221,0,222.4,0,1,1,598000,1374.235,1,1,0,,305.5,-113.4017389,53.62558928
11600,10186217,0,230.2,0,1,1,527000,498.41,1,1,0,,272.0,-113.40270770000001,53.62534027
11601,10186222,0,207.8,0,1,1,528000,659.783,1,1,0,,258.9,-113.4018965,53.62578776
11602,10186216,0,181.4,0,1,1,469500,402.705,1,1,0,,218.5,-113.40284750000001,53.6254488
11603,10186223,0,207.8,0,1,1,502500,443.03,1,1,0,,253.3,-113.4021562,53.62586095
11604,10186215,0,172.5,0,1,0,444500,421.556,1,1,0,,214.2,-113.4029461,53.62555712
11605,10186213,0,177.5,1,1,1,464000,425.417,1,1,0,,224.5,-113.40320179999999,53.62570217
11606,10186226,0,227.6,1,1,1,533000,467.413,1,1,0,,269.8,-113.40263259999999,53.62605428
11607,10383396,6,0.0,0,0,0,96500,247.434,0,0,0,,0.0,-113.56217360000001,53.62515588
11608,10383416,1,143.3,0,1,0,240500,436.793,1,0,0,,167.8,-113.56230729999999,53.62572248
11609,10383409,6,0.0,0,0,0,96500,247.418,0,0,0,,0.0,-113.56228689999999,53.62515629
11610,10383404,1,143.3,0,1,0,202500,355.547,1,0,0,,167.8,-113.562431,53.62574989
11611,10383397,1,143.3,0,1,1,248000,247.414,1,0,0,,167.8,-113.56240020000001,53.62515671
11612,10383415,1,129.3,0,1,0,186000,342.101,1,0,0,,157.1,-113.56255559999998,53.6257481
11613,10383410,1,143.3,0,1,1,236000,265.455,1,0,0,,167.8,-113.5625253,53.62515492
11614,10383403,1,129.3,0,1,0,180500,313.94,1,0,0,,157.1,-113.56268419999999,53.62574857
11615,10383398,1,146.4,0,1,1,361500,342.249,1,0,0,,172.0,-113.56269669999999,53.6251196
11616,10383414,1,143.3,0,1,0,214000,348.901,1,0,0,,167.8,-113.56284050000001,53.62572443
11617,10383411,1,146.4,0,1,1,373500,484.617,1,0,0,,172.0,-113.5629081,53.625102399999996
11618,10383399,1,149.2,0,1,0,380000,627.892,1,0,0,,173.7,-113.5630993,53.62518622
11619,10383413,1,145.8,0,1,1,369000,424.94,1,0,0,,172.5,-113.56313020000002,53.62556823
11620,10383412,1,149.2,0,1,0,366500,425.035,1,0,0,,173.7,-113.56313490000002,53.62529418
11621,1163237,0,110.14,0,1,0,369500,661.051,1,0,0,,159.05,-113.6036445,53.51285939
11622,1166974,0,99.86,1,1,0,361000,543.887,1,0,0,,135.63,-113.6043966,53.51311574
11623,1163179,0,96.38,0,0,0,328500,558.094,1,0,0,,145.38,-113.6037024,53.51320555
11624,1166107,0,107.06,0,1,0,338000,543.913,1,0,0,,155.97,-113.60439550000001,53.51347518
