,True Assessed Value,multi-linear,lasso,ridge,RFR,XGBoost
846,322500,397558.6072319634,397555.9325312227,397478.05215694755,314425.0,320077.03125
847,295500,288402.61912021413,288400.0039143376,288364.2416562773,269072.0,288965.25
848,200500,272812.27060154825,272809.6821792051,272772.94365125895,246922.0,273029.40625
849,339000,469316.64484125003,469314.14649343863,469245.95883566886,381200.0,374928.09375
850,216000,292650.99292448163,292648.3327479139,292615.65300789475,239267.0,246726.28125
851,319000,406940.0868076049,406937.62060037255,406865.7105883509,321389.0,325649.375
852,154000,180405.4238532707,180407.18587297574,180455.90360330418,185248.0,201752.171875
853,302500,276120.5393746011,276122.9224976897,276197.87898299843,282367.0,294356.3125
854,392500,374456.33333121985,374459.05628141016,374549.58175208047,358450.0,369140.96875
855,356000,301078.7864648029,301081.6347497478,301170.0336754061,331062.0,328586.59375
856,404000,445079.1934134811,445081.79513965547,445173.75261125714,372217.0,378364.03125
857,363500,370881.5006371401,370884.46102662385,370981.1122422777,364872.0,363568.6875
858,330500,298998.09350822493,299000.8772666082,299087.35361457244,329844.0,348775.59375
859,351500,292008.21800915524,292011.16817938536,292101.73922491074,328505.0,354070.375
860,305500,312139.4317611456,312141.61528950185,312197.391907908,303624.0,312001.0
861,320500,339698.0636847988,339700.1989646591,339756.62707876414,350831.0,338447.53125
862,259000,226312.52283731475,226314.79887533188,226362.4715158008,264257.0,256521.40625
863,397500,542675.2073878087,542677.6023049355,542755.3722905815,417939.0,395031.71875
864,511500,643974.2429713793,643974.0665099099,643945.4679849595,548155.0,557729.1875
865,457500,456806.2586512454,456805.9930166751,456761.45882429555,468618.0,468019.3125
866,480000,470269.41396984085,470268.8270560913,470205.461776752,483992.0,483779.3125
867,426500,277589.63439530507,277588.902042415,277507.8698468767,424716.0,425516.0625
868,453000,418511.96913278475,418511.3345337175,418443.13436279446,449892.0,458537.96875
869,425500,274596.09071182087,274595.4180537425,274515.6282155439,426640.0,450076.90625
870,461500,378135.11594642326,378135.37342106923,378058.8847976029,466654.0,454465.15625
871,525500,512750.60175628215,512750.0585268289,512692.2994090393,511193.0,520153.625
872,511000,510647.8527596742,510647.54737678915,510664.04335258156,522276.0,509207.8125
873,520500,484789.85877934843,484788.6681915261,484695.2618202083,524134.0,533203.875
874,508000,480901.2425120957,480900.0267509967,480805.7571129836,500662.0,512843.3125
875,463000,433185.6628000401,433184.368621476,433084.84108826146,460872.0,446842.15625
876,414500,410578.9100012183,410577.6070832759,410475.7231591195,434714.0,447020.78125
877,419000,261804.0304155089,261803.37872915715,261723.84279225394,406448.0,416207.125
878,436000,319024.82507263124,319024.1817343123,318949.343498338,439285.0,418336.5
879,464500,369934.9910421446,369934.23903019354,369864.4957957491,461980.0,454512.875
880,533000,568702.7643002905,568702.1232866831,568650.0410988741,520238.0,539255.4375
881,416000,426031.29816873744,426032.6846786067,426018.2325771637,442144.0,429009.1875
